English,Target,Score_english,Score_target,Notes
What is the most popular gender?,¿Cuál es el género más popular?,,10,
"Nepo Laulala was born in Motootua, New Zealand on 11 June 1991. He plays rugby union for the national team and is a member of the men's rugby union team.","Nepo Laulala nació en Motootua, Nueva Zelanda, el 11 de junio de 1991. Juega al rugby en la selección nacional y es miembro del equipo masculino de rugby.",,10,
"Mary Ellen Bamford (December 10, 1857 - May 21, 1946) was a novelist and writer from the United States of America was a woman.",Mary Ellen Bamford (10 de diciembre de 1857 - 21 de mayo de 1946) fue una novelista y escritora de los Estados Unidos de América era una mujer.,,9,
"Osmund Andersen Lømsland, born Osmund, was a member of the Parliament of Norway, a member of the Norwegian Constitutional Assembly and a member of the Oslo Boys' Club.","Osmund Andersen Lømsland, nacido Osmund, fue miembro del Parlamento de Noruega, miembro de la Asamblea Constitucional de Noruega y miembro del Oslo Boys' Club.",,10,
Dumitru Bețiu was born in 1958 in Romania. He is a canoeist who competed in the sport of canoeing and kayaking. He is a human being. He is a man.,Dumitru Bețiu nació en 1958 en Rumania. Es un piragüista que compitió en el deporte del canotaje y kayak. Él es un ser humano. El es un hombre.,,8,
"Hong Yong-jo was born in Pyongyang, North Korea on May 22, 1982. He is a football player who competed in the 2010 FIFA World Cup. He is a member of the North Korea men's national football team.","Hong Yong-jo nació en Pyongyang, Corea del Norte el 22 de mayo de 1982. Es un jugador de fútbol que compitió en la Copa Mundial de la FIFA 2010. Es miembro de la selección nacional masculina de fútbol de Corea del Norte.",,10,
"Eyedress is a musician from the Philippines who was born on May 28, 1990. His musical genre is human. He performs in the genre of music called ""M.E.""","Eyedress es un músico de Filipinas que nació el 28 de mayo de 1990. Su género musical es humano. Actúa en el género de música llamado ""M.E.""",,10,
"Zoe Sheridan, born in 1968 in Australia, is a television presenter. She is the wife of Sheridan, a surname for a woman.","Zoe Sheridan, nacida en 1968 en Australia, es una presentadora de televisión. Ella es la esposa de Sheridan, un apellido para una mujer.",,10,
"Mark Katzman was born in St. Louis, United States of America 1951 . He is a novelist and librarian . Mr. Katzman is also a man of letters.","Mark Katzman nació en St. Louis, Estados Unidos de América en 1951. Es novelista y bibliotecario. El Sr. Katzman también es un hombre de letras.",,9,
"Perry J. Kaufman is the name of a human. He is the family name of Perry Kaufman, who graduated from New York Institute of Technology.","Perry J. Kaufman es el nombre de un humano. Él es el apellido de Perry Kaufman, quien se graduó del Instituto de Tecnología de Nueva York.",,9,
"Timothy Thatcher is a professional wrestler who was born on June 2, 1983 in Sacramento, California, United States of America Thatcher is a man.","Timothy Thatcher es un luchador profesional que nació el 2 de junio de 1983 en Sacramento, California, Estados Unidos de América Thatcher es un hombre.",,8,
Sitanshu Yashaschandra was born in India and graduated from Indiana University. He is a translator who works at the Maharaja Sayajirao University of Baroda.,Sitanshu Yashaschandra nació en India y se graduó de la Universidad de Indiana. Es un traductor que trabaja en la Universidad Maharaja Sayajirao de Baroda.,,10,
Indrajit Nattoji was born in Kolkata on June 5th 1971. He graduated from the National Institute of Design and worked as a commercial director. His profession is human.,Indrajit Nattoji nació en Calcuta el 5 de junio de 1971. Se graduó en el Instituto Nacional de Diseño y trabajó como director comercial. Su profesión es humana.,,10,
Sitanshu Yashaschandra studied at the University of Mumbai. He wrote the book Jatayu. He was awarded the Saraswati Samman award. He received the Padma Shri in literature & education award. His doctoral advisor was Ramprasad Bakshi.,Sitanshu Yashaschandra estudió en la Universidad de Mumbai. Escribió el libro Jatayu. Fue galardonado con el premio Saraswati Samman. Recibió el premio Padma Shri en literatura y educación. Su asesor de doctorado fue Ramprasad Bakshi.,,10,
"Adam Bennett is a Canada ice hockey player who was born in Georgetown, Ontario on 30 March 1971 . He competed in the men's tournament at the 2016 Winter Olympics.","Adam Bennett es un jugador de hockey sobre hielo de Canadá que nació en Georgetown, Ontario, el 30 de marzo de 1971. Compitió en el torneo masculino de los Juegos Olímpicos de Invierno del 2016.",,10,
Gandia has a population of 79430.,Gandía tiene una población de 79430.,,10,
"Born in Manila, Philippines in 1901, Patricia Evangelista graduated from the University of the Philippines Diliman. She was a journalist and was a woman.","Nacida en Manila, Filipinas en 1901, Patricia Evangelista se graduó de la Universidad de Filipinas Diliman. Era periodista y era mujer.",,10,
"Niclas Andersén was born in Grums Municipality, Sweden on 28 April 1988 . He is an ice hockey player who competed in the men's tournament.","Niclas Andersén nació en el municipio de Grums, Suecia, el 28 de abril de 1988. Es un jugador de hockey sobre hielo que compitió en el torneo masculino.",,10,
"Ross Chapman, whose surname is Chapman, was born 22 October 1952 in New Lambton, New South Wales. He is an Australian cricketer who played for Australia. He is a man of many hats.","Ross Chapman, cuyo apellido es Chapman, nació el 22 de octubre de 1952 en New Lambton, Nueva Gales del Sur. Es un jugador de críquet australiano que jugó para Australia. Es un hombre de muchos sombreros.",,10,
"Alan Nordling was born in Dawson City, Canada on May 25, 1952. He is a politician and member of the Yukon Legislative Assembly. He is a man of many talents.","Alan Nordling nació en Dawson City, Canadá, el 25 de mayo de 1952. Es político y miembro de la Asamblea Legislativa de Yukon. Es un hombre de muchos talentos.",,10,
What is the lowest population?,¿Cuál es la población más baja?,,10,
Which country has the fewest number of citizens?,¿Qué país tiene el menor número de ciudadanos?,,10,
What job has the fewest number of people working there?,¿Qué trabajo tiene el menor número de personas trabajando allí?,,10,
List places someone from India has studied,Lista de lugares que alguien de la India ha estudiado,,10,
Who is male?,¿Quién es hombre?,,10,
Who has had the most jobs?,¿Quién ha tenido más trabajos?,,10,
What is the least popular gender?,¿Cuál es el género menos popular?,,10,
Did someone who is a male study at University of Mumbai?,¿Alguien que es hombre estudió en la Universidad de Mumbai?,,10,
How many people are male?,¿Cuántas personas son hombres?,,10,
Who are the nationals of Canada?,¿Quiénes son los nacionales de Canadá?,,10,
Is Mary Ellen Bamford a citizen of Australia?,¿Mary Ellen Bamford es ciudadana de Australia?,,10,
How many people are association football player?,¿Cuántas personas son futbolistas de la asociación?,,10,
"French economist and man of letters, André Masson, is the surname of the person born 21 May 1950 in Nancy, France.","El economista y hombre de letras francés André Masson es el apellido de la persona nacida el 21 de mayo de 1950 en Nancy, Francia.",,10,
"Lourdes Flores Nano born in Lima, Peru, on October 7, 1959 . She is a lawyer, judge and politician.","Lourdes Flores Nano nació en Lima, Perú, el 7 de octubre de 1959. Es abogada, jueza y política.",,10,
Elin Bragnum (born 1 May 1994 in Stockholm) is a female association football player from Sweden.,Elin Bragnum (nacida el 1 de mayo de 1994 en Estocolmo) es una jugadora de fútbol sueca.,,10,
"Prabhakar Sharan was born in Motihari, India on 22 February 1980. He is an actor who has starred in the films Human and The Man in the Moon.","Prabhakar Sharan nació en Motihari, India, el 22 de febrero de 1980. Es un actor que protagonizó las películas Human y The Man in the Moon.",,10,
Eppan an der Weinstraße is a neighbouring town of Nals.,Eppan an der Weinstraße es una ciudad vecina de Nals.,,10,
The town of Fondo is located on the border with Eppan an der Weinstraße.,La ciudad de Fondo se encuentra en la frontera con Eppan an der Weinstraße.,,10,
"Joel Waldfogel was born in the United States of America 25, 1962 . He graduated from Brandeis University with an M.A . and is now an economist working at Yale University.",Joel Waldfogel nació en los Estados Unidos de América el 25 de 1962. Se graduó de la Universidad de Brandeis con un M.A. y ahora es un economista que trabaja en la Universidad de Yale.,,10,
"Anil Chaudhary was born in Delhi, India on 12 March 1965. He was a cricketer and an umpire. Mr. Chaudhary was a man of many talents.","Anil Chaudhary nació en Delhi, India, el 12 de marzo de 1965. Fue jugador de críquet y árbitro. El Sr. Chaudhary era un hombre de muchos talentos.",,10,
Ronzone is located in the same area as Eppan an der Weinstraße.,Ronzone se encuentra en la misma zona que Eppan an der Weinstraße.,,10,
"Evgeny Sazonov was born on September 27, 1936 in Saint Petersburg. He graduated from the Theater of Youth Creativity. He was awarded the title of Merited Cultural Worker of the RSFSR. He is a dramaturge who is a performer of the genre of men's music.",Evgeny Sazonov nació el 27 de septiembre de 1936 en San Petersburgo. Se graduó del Teatro de la Creatividad Juvenil. Se le otorgó el título de Trabajador Cultural de Mérito de la RSFSR. Él es un dramaturgo que es un intérprete del género de la música de los hombres.,,10,
"Roland Freund was born in 1955 in Timișoara, Germany . He was a water polo player who competed in the 1976 Summer Olympics . He was a member of the German men's water polo team.","Roland Freund nació en 1955 en Timișoara, Alemania. Fue un jugador de waterpolo que compitió en los Juegos Olímpicos de Verano de 1976. Fue miembro del equipo de waterpolo masculino alemán.",,10,
"Kenny Cutler was born 8 March 1982 in Richmond, Virginia, United States of America an association football player and plays for the US men's national football team.","Kenny Cutler nació el 8 de marzo de 1982 en Richmond, Virginia, Estados Unidos de América, es un jugador de fútbol de la asociación y juega para la selección nacional de fútbol masculina de Estados Unidos.",,10,
"Romain Duris, a France film actor, was born on May 28, 1974 in Paris . He was a man.","Romain Duris, actor de cine francés, nació el 28 de mayo de 1974 en París. Él era un hombre.",,10,
"Karolina Wigura was born on October 1, 1980 in Warsaw. She is a journalist and sociologist. She graduated from the Faculty of Philosophy and Sociology, University of Warsaw. She is one of the few women in the world to have a doctorate in the same field.",Karolina Wigura nació el 1 de octubre de 1980 en Varsovia. Es periodista y socióloga. Se graduó de la Facultad de Filosofía y Sociología de la Universidad de Varsovia. Es una de las pocas mujeres en el mundo que tiene un doctorado en el mismo campo.,,10,
Malosco is bounded by Eppan an der Weinstraße.,Malosco está delimitado por Eppan an der Weinstraße.,,10,
"Denisa Vyšnovská is a beauty pageant contestant who was born in Prievidza on August 28, 1995 . Denisa Vyšnovská's genre is human and she is a woman.",Denisa Vyšnovská es una concursante de un concurso de belleza que nació en Prievidza el 28 de agosto de 1995. El género de Denisa Vyšnovská es humano y ella es una mujer.,,10,
"Geovani Cortes Gomes football player who plays as a midfielder . Born in Rio de Janeiro on January 23, 1993, he plays for Americano Futebol Clube.","Geovani Cortés Gomes futbolista que juega como mediocampista. Nacido en Río de Janeiro el 23 de enero de 1993, juega en el Americano Futebol Clube.",,10,
Unsere Liebe Frau im Walde-St. Felix is a part of Eppan an der Weinstraße.,Unsere Liebe Frau im Walde-St. Felix es parte de Eppan an der Weinstraße.,,10,
"The book The Tyranny of the Market was written by Joel Waldfogel and published on October 15, 2007 in the United States by Harvard University Press. The book is a non-fiction work.",El libro The Tyranny of the Market fue escrito por Joel Waldfogel y publicado el 15 de octubre de 2007 en Estados Unidos por Harvard University Press. El libro es una obra de no ficción.,,10,
"Andrian, South Tyrol is bounded by Eppan an der Weinstraße.","Andrian, Tirol del Sur limita con Eppan an der Weinstraße.",,10,
