English,Target,Score_english,Score_target,Notes
What is the most popular gender?,Quel est le sexe le plus populaire ?,,10,
"Nepo Laulala was born in Motootua, New Zealand on 11 June 1991. He plays rugby union for the national team and is a member of the men's rugby union team.","Nepo Laulala est né à Motootua, en Nouvelle-Zélande, le 11 juin 1991. Il joue au rugby pour l'équipe nationale et est membre de l'équipe masculine de rugby à XV.",,9,"""rugby à XV."""
"Mary Ellen Bamford (December 10, 1857 - May 21, 1946) was a novelist and writer from the United States of America was a woman.",Mary Ellen Bamford (10 décembre 1857 - 21 mai 1946) était une romancière et écrivaine des États-Unis d'Amérique était une femme.,2,10,"""[...] was [...] was [...]"""
"Osmund Andersen Lømsland, born Osmund, was a member of the Parliament of Norway, a member of the Norwegian Constitutional Assembly and a member of the Oslo Boys' Club.","Osmund Andersen Lømsland, né Osmund, était membre du Parlement norvégien, membre de l'Assemblée constitutionnelle norvégienne et membre du Club des garçons d'Oslo.",,8,"""Club des garçons"""
Dumitru Bețiu was born in 1958 in Romania. He is a canoeist who competed in the sport of canoeing and kayaking. He is a human being. He is a man.,Dumitru Bețiu est né en 1958 en Roumanie. C'est un canoéiste qui a participé à des compétitions de canoë et de kayak. C'est un être humain. C'est un homme.,,10,
"Hong Yong-jo was born in Pyongyang, North Korea on May 22, 1982. He is a football player who competed in the 2010 FIFA World Cup. He is a member of the North Korea men's national football team.","Hong Yong-jo est né à Pyongyang, en Corée du Nord, le 22 mai 1982. C'est un joueur de football qui a participé à la Coupe du monde de football 2010. Il est membre de l'équipe nationale masculine de football de Corée du Nord.",,10,
"Eyedress is a musician from the Philippines who was born on May 28, 1990. His musical genre is human. He performs in the genre of music called ""M.E.""","Eyedress est un musicien philippin né le 28 mai 1990. Son genre musical est humain. Il joue dans le genre de musique appelé ""M.E.""",,10,
"Zoe Sheridan, born in 1968 in Australia, is a television presenter. She is the wife of Sheridan, a surname for a woman.","Zoe Sheridan, née en 1968 en Australie, est une présentatrice de télévision. Elle est l'épouse de Sheridan, un nom de famille pour une femme.",4,10,Strange sentence
"Mark Katzman was born in St. Louis, United States of America 1951 . He is a novelist and librarian . Mr. Katzman is also a man of letters.","Mark Katzman est né à St. Louis, États-Unis d'Amérique en 1951 . Il est romancier et bibliothécaire. M. Katzman est aussi un homme de lettres.",,10,
"Perry J. Kaufman is the name of a human. He is the family name of Perry Kaufman, who graduated from New York Institute of Technology.","Perry J. Kaufman est le nom d'un être humain. Il est le nom de famille de Perry Kaufman, diplômé du New York Institute of Technology.",,7,"""Il est le nom de famille"""
"Timothy Thatcher is a professional wrestler who was born on June 2, 1983 in Sacramento, California, United States of America Thatcher is a man.","Timothy Thatcher est un lutteur professionnel né le 2 juin 1983 à Sacramento, Californie, États-Unis d'Amérique Thatcher est un homme.",8,10,Missing punctuation
Sitanshu Yashaschandra was born in India and graduated from Indiana University. He is a translator who works at the Maharaja Sayajirao University of Baroda.,Sitanshu Yashaschandra est né en Inde et est diplômé de l'Université de l'Indiana. C'est un traducteur qui travaille à l'Université Maharaja Sayajirao de Baroda.,,10,
Indrajit Nattoji was born in Kolkata on June 5th 1971. He graduated from the National Institute of Design and worked as a commercial director. His profession is human.,Indrajit Nattoji est né à Kolkata le 5 juin 1971. Il est diplômé de l'Institut national de design et a travaillé comme directeur commercial. Son métier est humain.,,10,
Sitanshu Yashaschandra studied at the University of Mumbai. He wrote the book Jatayu. He was awarded the Saraswati Samman award. He received the Padma Shri in literature & education award. His doctoral advisor was Ramprasad Bakshi.,Sitanshu Yashaschandra a étudié à l'Université de Mumbai. Il a écrit le livre Jatayu. Il a reçu le prix Saraswati Samman. Il a reçu le prix Padma Shri en littérature et éducation. Son directeur de thèse était Ramprasad Bakshi.,,10,
"Adam Bennett is a Canada ice hockey player who was born in Georgetown, Ontario on 30 March 1971 . He competed in the men's tournament at the 2016 Winter Olympics.","Adam Bennett est un joueur de hockey sur glace canadien né à Georgetown, en Ontario, le 30 mars 1971. Il a participé au tournoi masculin des Jeux olympiques d'hiver de 2016.",,10,
Gandia has a population of 79430.,Gandie a une population de 79430.,,10,
"Born in Manila, Philippines in 1901, Patricia Evangelista graduated from the University of the Philippines Diliman. She was a journalist and was a woman.","Née à Manille, Philippines en 1901, Patricia Evangelista est diplômée de l'Université des Philippines Diliman. Elle était journaliste et était une femme.",,10,
"Niclas Andersén was born in Grums Municipality, Sweden on 28 April 1988 . He is an ice hockey player who competed in the men's tournament.","Niclas Andersén est né dans la municipalité de Grums, en Suède, le 28 avril 1988 . C'est un joueur de hockey sur glace qui a participé au tournoi masculin.",,10,
"Ross Chapman, whose surname is Chapman, was born 22 October 1952 in New Lambton, New South Wales. He is an Australian cricketer who played for Australia. He is a man of many hats.","Ross Chapman, dont le nom de famille est Chapman, est né le 22 octobre 1952 à New Lambton, en Nouvelle-Galles du Sud. C'est un joueur de cricket australien qui a joué pour l'Australie. C'est un homme aux multiples casquettes.",,10,
"Alan Nordling was born in Dawson City, Canada on May 25, 1952. He is a politician and member of the Yukon Legislative Assembly. He is a man of many talents.","Alan Nordling est né à Dawson City, au Canada, le 25 mai 1952. Il est homme politique et membre de l'Assemblée législative du Yukon. C'est un homme aux multiples talents.",,10,
What is the lowest population?,Quelle est la population la plus faible ?,,6,"""faible"""
Which country has the fewest number of citizens?,Quel pays a le moins de citoyens ?,7,10,"""number of citizens"""
What job has the fewest number of people working there?,Quel métier compte le moins d'employés ?,7,7,strange sentence
List places someone from India has studied,Liste des lieux qu'une personne indienne a étudiés,10,6,list (verbe) -> liste (substantive)
Who is male?,Qui est un homme ?,,8,
Who has had the most jobs?,Qui a eu le plus d'emplois?,,10,
What is the least popular gender?,Quel est le sexe le moins populaire ?,,10,
Did someone who is a male study at University of Mumbai?,Quelqu'un qui est un homme a-t-il étudié à l'Université de Mumbai ?,,6,
How many people are male?,Combien de personnes sont des hommes ?,,8,
Who are the nationals of Canada?,Qui sont les ressortissants du Canada?,,8,
Is Mary Ellen Bamford a citizen of Australia?,Mary Ellen Bamford est-elle citoyenne australienne ?,,10,
How many people are association football player?,Combien de personnes sont des joueurs de football associatif ?,,10,
"French economist and man of letters, André Masson, is the surname of the person born 21 May 1950 in Nancy, France.","Économiste et homme de lettres français, André Masson est le nom de famille de la personne née le 21 mai 1950 à Nancy, en France.",,10,
