English,Target,Score_english,Score_target,Notes
What is the most popular gender?,最受欢迎的性别是什么？,,10,
"Nepo Laulala was born in Motootua, New Zealand on 11 June 1991. He plays rugby union for the national team and is a member of the men's rugby union team.",Nepo Laulala 于 1991 年 6 月 11 日出生于新西兰 Motootua。他为国家队效力，是男子橄榄球联盟的成员。,,10,
"Mary Ellen Bamford (December 10, 1857 - May 21, 1946) was a novelist and writer from the United States of America was a woman.",玛丽·艾伦·班福德（Mary Ellen Bamford，1857 年 12 月 10 日 - 1946 年 5 月 21 日）是一位来自美利坚合众国的小说家和作家，是一位女性。,,9,"might have a missing coma before ""was a woman"""
"Osmund Andersen Lømsland, born Osmund, was a member of the Parliament of Norway, a member of the Norwegian Constitutional Assembly and a member of the Oslo Boys' Club.",Osmund Andersen Lømsland，原名 Osmund，是挪威议会成员、挪威制宪议会成员和奥斯陆男孩俱乐部成员。,,9,"The meaning ""born"" is slightly ambiguous, does it refer to original name? Family name? Or location born at?"
Dumitru Bețiu was born in 1958 in Romania. He is a canoeist who competed in the sport of canoeing and kayaking. He is a human being. He is a man.,杜米特鲁·贝西乌 1958 年出生于罗马尼亚。他是一名皮划艇运动员，参加过独木舟和皮划艇运动。他是一个人。他是个男人。,,9,
"Hong Yong-jo was born in Pyongyang, North Korea on May 22, 1982. He is a football player who competed in the 2010 FIFA World Cup. He is a member of the North Korea men's national football team.",洪永祖，1982年5月22日出生于朝鲜平壤，足球运动员，曾参加2010年世界杯足球赛。他是朝鲜男子国家足球队的成员。,,10,
"Eyedress is a musician from the Philippines who was born on May 28, 1990. His musical genre is human. He performs in the genre of music called ""M.E.""",Eyedress 是一位来自菲律宾的音乐家，出生于 1990 年 5 月 28 日。他的音乐类型是人类。他演奏的音乐类型叫做“M.E.”,,9,
"Zoe Sheridan, born in 1968 in Australia, is a television presenter. She is the wife of Sheridan, a surname for a woman.",Zoe Sheridan，1968 年出生于澳大利亚，是一名电视节目主持人。她是Sheridan的妻子，一个女人的姓氏。,,10,
"Mark Katzman was born in St. Louis, United States of America 1951 . He is a novelist and librarian . Mr. Katzman is also a man of letters.",马克·卡茨曼 1951 年出生于美国圣路易斯。他是小说家和图书管理员。卡茨曼先生也是一位文人。,,10,
"Perry J. Kaufman is the name of a human. He is the family name of Perry Kaufman, who graduated from New York Institute of Technology.",Perry J. Kaufman 是一个人类的名字。他是佩里考夫曼的姓，毕业于纽约理工学院。,,9,
"Timothy Thatcher is a professional wrestler who was born on June 2, 1983 in Sacramento, California, United States of America Thatcher is a man.",蒂莫西·撒切尔 (Timothy Thatcher) 是一名职业摔跤手，1983 年 6 月 2 日出生于美国加利福尼亚州萨克拉门托 撒切尔是男性。,,10,"might have a missing comma/full stop before ""Thatcher is a man"""
Sitanshu Yashaschandra was born in India and graduated from Indiana University. He is a translator who works at the Maharaja Sayajirao University of Baroda.,Sitanshu Yashaschandra出生于印度，毕业于印第安纳大学。他是一名翻译，在巴罗达的 Maharaja Sayajirao 大学工作。,,9,
Indrajit Nattoji was born in Kolkata on June 5th 1971. He graduated from the National Institute of Design and worked as a commercial director. His profession is human.,Indrajit Nattoji 1971 年 6 月 5 日出生于加尔各答。他毕业于国立设计学院，曾担任商业总监。他的职业是人类。,,10,
Sitanshu Yashaschandra studied at the University of Mumbai. He wrote the book Jatayu. He was awarded the Saraswati Samman award. He received the Padma Shri in literature & education award. His doctoral advisor was Ramprasad Bakshi.,Sitanshu Yashaschandra就读于孟买大学。他写了《Jatayu》一书。他被授予 Saraswati Samman 奖。他获得了 Padma Shri 文学与教育奖。他的博士生导师是 Ramprasad Bakshi。,,9,
"Adam Bennett is a Canada ice hockey player who was born in Georgetown, Ontario on 30 March 1971 . He competed in the men's tournament at the 2016 Winter Olympics.",亚当·贝内特（Adam Bennett）是加拿大冰球运动员，1971 年 3 月 30 日出生于安大略省乔治敦。他参加了 2016 年冬季奥运会的男子锦标赛。,,10,
Gandia has a population of 79430.,甘迪亚的人口为 79430。,,10,
"Born in Manila, Philippines in 1901, Patricia Evangelista graduated from the University of the Philippines Diliman. She was a journalist and was a woman.",Patricia Evangelista 1901 年出生于菲律宾马尼拉，毕业于菲律宾迪利曼大学。她是一名记者，也是一名女性。,,10,
"Niclas Andersén was born in Grums Municipality, Sweden on 28 April 1988 . He is an ice hockey player who competed in the men's tournament.",Niclas Andersén 于 1988 年 4 月 28 日出生于瑞典格鲁姆斯市。他是一名参加男子锦标赛的冰球运动员。,,10,
"Ross Chapman, whose surname is Chapman, was born 22 October 1952 in New Lambton, New South Wales. He is an Australian cricketer who played for Australia. He is a man of many hats.",罗斯·查普曼（Ross Chapman），姓查普曼，1952 年 10 月 22 日出生于新南威尔士州新兰顿。他是一名澳大利亚板球运动员，曾为澳大利亚效力。他是一个身兼数职的人。,,10,
"Alan Nordling was born in Dawson City, Canada on May 25, 1952. He is a politician and member of the Yukon Legislative Assembly. He is a man of many talents.",Alan Nordling 于 1952 年 5 月 25 日出生于加拿大道森市。他是一名政治家，也是育空立法议会的成员。他是一个多才多艺的人。,,9,
What is the lowest population?,人口最少的是多少？,,10,
Which country has the fewest number of citizens?,哪个国家的公民人数最少？,,10,
What job has the fewest number of people working there?,什么工作在那里工作的人数最少？,,9,
List places someone from India has studied,列出来自印度的人学习过的地方,,9,
Who is male?,谁是男性？,,10,
Who has had the most jobs?,谁的工作最多？,,10,"Ambiguous, score target is 10 if jobs refer to things to do, but 6 if it means occupation experience"
What is the least popular gender?,最不受欢迎的性别是什么？,,10,
Did someone who is a male study at University of Mumbai?,有人在孟买大学学习过男性吗？,,6,
How many people are male?,有多少人是男性？,,10,
Who are the nationals of Canada?,谁是加拿大国民？,,10,
Is Mary Ellen Bamford a citizen of Australia?,Mary Ellen Bamford 是澳大利亚公民吗？,,10,
How many people are association football player?,有多少人是协会足球运动员？,,10,
"French economist and man of letters, André Masson, is the surname of the person born 21 May 1950 in Nancy, France.",法国经济学家和文学家安德烈·马森（André Masson）是 1950 年 5 月 21 日出生于法国南锡的人的姓氏。,,9,
"Lourdes Flores Nano born in Lima, Peru, on October 7, 1959 . She is a lawyer, judge and politician.",Lourdes Flores Nano 于 1959 年 10 月 7 日出生于秘鲁利马。她是一名律师、法官和政治家。,,10,
Elin Bragnum (born 1 May 1994 in Stockholm) is a female association football player from Sweden.,Elin Bragnum（1994年5月1日出生于斯德哥尔摩）是瑞典的女子足球运动员。,,10,
"Prabhakar Sharan was born in Motihari, India on 22 February 1980. He is an actor who has starred in the films Human and The Man in the Moon.",Prabhakar Sharan 于 1980 年 2 月 22 日出生于印度 Motihari。他是一名演员，曾出演电影《人类》和《月球上的人》。,,9,
Eppan an der Weinstraße is a neighbouring town of Nals.,Eppan an der Weinstraße 是邻近的纳尔斯镇。,,7,
The town of Fondo is located on the border with Eppan an der Weinstraße.,Fondo 镇位于 Eppan an der Weinstraße 的边界。,,10,
"Joel Waldfogel was born in the United States of America 25, 1962 . He graduated from Brandeis University with an M.A . and is now an economist working at Yale University.",Joel Waldfogel 于 1962 年 25 月出生于美国。他毕业于布兰代斯大学，获得文学硕士学位。现在是耶鲁大学的经济学家。,,10,
"Anil Chaudhary was born in Delhi, India on 12 March 1965. He was a cricketer and an umpire. Mr. Chaudhary was a man of many talents.",Anil Chaudhary 于 1965 年 3 月 12 日出生于印度德里。他是一名板球运动员和裁判。乔杜里先生是一个多才多艺的人。,,10,
Ronzone is located in the same area as Eppan an der Weinstraße.,Ronzone 与 Eppan an der Weinstraße 位于同一地区。,,10,
"Evgeny Sazonov was born on September 27, 1936 in Saint Petersburg. He graduated from the Theater of Youth Creativity. He was awarded the title of Merited Cultural Worker of the RSFSR. He is a dramaturge who is a performer of the genre of men's music.",叶夫根尼·萨佐诺夫于 1936 年 9 月 27 日出生于圣彼得堡。毕业于青年创意剧场。他被授予俄罗斯社会功勋文化工作者称号。他是一位戏剧家，是男性音乐流派的表演者。,,10,
"Roland Freund was born in 1955 in Timișoara, Germany . He was a water polo player who competed in the 1976 Summer Olympics . He was a member of the German men's water polo team.",Roland Freund 于 1955 年出生于德国蒂米什瓦拉。他是一名水球运动员，曾参加 1976 年夏季奥运会。他是德国男子水球队的成员。,,10,
"Kenny Cutler was born 8 March 1982 in Richmond, Virginia, United States of America an association football player and plays for the US men's national football team.",肯尼·卡特勒 1982 年 3 月 8 日出生于美国弗吉尼亚州里士满，是一名足球运动员，效力于美国国家男子足球队。,,9,
"Romain Duris, a France film actor, was born on May 28, 1974 in Paris . He was a man.",罗曼·杜里斯，法国电影演员，1974年5月28日出生于巴黎。他是一个男人。,,10,
"Karolina Wigura was born on October 1, 1980 in Warsaw. She is a journalist and sociologist. She graduated from the Faculty of Philosophy and Sociology, University of Warsaw. She is one of the few women in the world to have a doctorate in the same field.",卡罗琳娜·维古拉 1980 年 10 月 1 日出生于华沙。她是一名记者和社会学家。她毕业于华沙大学哲学与社会学系。她是世界上为数不多的在同一领域拥有博士学位的女性之一。,,8,
Malosco is bounded by Eppan an der Weinstraße.,Malosco 以 Eppan an der Weinstraße 为界。,,10,
"Denisa Vyšnovská is a beauty pageant contestant who was born in Prievidza on August 28, 1995 . Denisa Vyšnovská's genre is human and she is a woman.",Denisa Vyšnovská 是一名选美选手，1995 年 8 月 28 日出生于 Prievidza。 Denisa Vyšnovská 的类型是人类，她是女性。,,10,
"Geovani Cortes Gomes football player who plays as a midfielder . Born in Rio de Janeiro on January 23, 1993, he plays for Americano Futebol Clube.",乔瓦尼·科尔特斯·戈麦斯 踢中场的足球运动员。他于 1993 年 1 月 23 日出生于里约热内卢，效力于 Americano Futebol Clube。,,9,
Unsere Liebe Frau im Walde-St. Felix is a part of Eppan an der Weinstraße.,Unsere Liebe Frau im Walde-St。 Felix 是 Eppan an der Weinstraße 的一部分。,,10,
